# Coverage report (regenerated)

Spec: App Store Connect API 4.3 (title: App Store Connect API)
Total operations in spec:   1208
Tools emitted:              1208
Deprecated (still emitted): 153
Skipped:                    0
Tags:                       191

| # | Tag | Tools | File |
| 180 | InAppPurchaseSubmissions | 1 | `in-app-purchase-submissions.ts` |
| 181 | SalesReports | 1 | `sales-reports.ts` |
| 182 | SandboxTestersClearPurchaseHistoryRequest | 1 | `sandbox-testers-clear-purchase-history-request.ts` |
| 183 | ScmGitReferences | 1 | `scm-git-references.ts` |
| 184 | ScmPullRequests | 1 | `scm-pull-requests.ts` |
| 185 | SubscriptionGroupSubmissions | 1 | `subscription-group-submissions.ts` |
| 186 | SubscriptionSubmissions | 1 | `subscription-submissions.ts` |
| 187 | Territories | 1 | `territories.ts` |
| 188 | TerritoryAvailabilities | 1 | `territory-availabilities.ts` |
| 189 | WebhookDeliveries | 1 | `webhook-deliveries.ts` |
| 190 | WebhookPings | 1 | `webhook-pings.ts` |
| 191 | DiagnosticSignatures | 1 | `diagnostic-signatures.ts` |
